name,smol,best_recs,upcom
Meineke Car Care Center,1,"[""McSpadden's Tire & Automotive"", 'Meineke Car Care Center', 'Pep Boys', 'Advanced Automotive and Tire']","['Pep Boys', 'Family Tires', 'Advanced Automotive and Tire', 'Badger Motorsports']"
Anything Around The House,1,"['Centex Cabinets', 'Austin Kitchen & Bath', 'Premier Granite Solutions', 'Catalyst Construction']","['Austin Kitchen & Bath', 'Catalyst Construction', 'Josco Plumbing Supply', 'C. Haynes Construction']"
Burger Bar On Congress,0,"['Red Robin Gourmet Burgers and Brews', ""Dirty Martin's Place"", 'In-N-Out Burger', 'Whataburger']","[""Liz's Grill"", 'The G Spot Wangs N Thangs', 'Messhall Cafe', 'Burgerlicious', 'Ned Granger Cafe']"
First Stop Food Store,1,"['Hyde Park Market', 'East 1st Grocery', 'Duval Market', 'Texan Market']","['Hyde Park Market', 'East 1st Grocery', 'Southwest Parkway Market', 'Mlk Food Store']"
Jd's Market,0,"['Rosedale Market', ""JD's Super Market"", 'Exxon Tiger Marts', 'Around the Corner Store']","['Rosedale Market', 'Around the Corner Store', 'La Michoacana Meat Market', 'Hudson Meat Market', ""Thom's Market - Riverside""]"
Sandy's Upholstery,0,"['Leather Replacement & Custom Upholstery', 'Cardenas Upholstery', 'Deck Hands Mobile Detailing', 'Long Upholstery Service']","['Leather Replacement & Custom Upholstery', 'Cardenas Upholstery', 'Deck Hands Mobile Detailing', 'Long Upholstery Service', 'ED Auto Upholstery']"
Mi Madre's,0,"['Il Brutto', ""Trudy's South Star"", 'District Kitchen - Anderson Lane', 'Wright Bros Brew & Brew']","[""Brick Top's Pub"", 'Meanwhile Brewing', 'Water 2 Wine', 'Summer House on Music Lane', 'Long Play Lounge']"
Jersey Mike's Subs,0,"['Flyrite', ""Jersey Mike's Subs"", 'Firehouse Subs', ""Jersey Mike's Subs""]","['Subway', 'Subway', ""Cooper's Sandwiches"", 'Thundercloud Subs']"
Elite Nails,0,"['Onion Creek Nails and Spa', 'Happy Nails And Spa', 'Arboretum Nails and Spa', 'Premier Nails Spa', 'All About You']","['VA Nails', 'Nexgen Spa & Nails', 'Artist Nail Salon & Day Spa', 'E D Nails And Spa', 'Living Colors Nails']"
Silk and Sage Design Studio,1,"['The Khazana', 'More Space Place- Austin', 'Copenhagen Imports', 'KC Grey Home']","['The Khazana', 'More Space Place- Austin', 'KC Grey Home', 'Copenhagen Imports']"
Fairfield Inn & Suites Austin Northwest/Research Blvd,0,"['Holiday Inn Express & Suites Austin Downtown - University', 'Staybridge Suites Austin Airport', 'Hilton Garden Inn Austin North', 'Embassy Suites Austin Downtown South Congress', 'Hampton Inn & Suites Austin-Downtown/Convention Center']","['Staybridge Suites Austin Airport', 'Inn Cahoots', 'TownePlace Suites Austin North/Tech Ridge', 'Hotel Saint Cecilia', 'Heywood Hotel']"
Green Alley Salon,0,"['Strandz Salon', 'Tamara Greer Hair Studio', 'Great Clips', 'B52 Hairstudio', 'Hair by Shondi']","['Rootz Braiding Studio', 'Christopher + Leigh Salon', 'B52 Hairstudio', 'J.S.P Hair and Color Design', 'Indulgence a Salon']"
Local Legends,1,"['Create A Cig', 'Create A Cig', 'Colorado Vape & Glass Co. Austin', 'Smoking Depot']","['Smoking Depot', 'Smoke Shop Blvd', 'Colorado Vape & Glass Co. Austin', 'Austin Vape and Smoke']"
Via 313 Pizza - West 6th,0,"['Hardwood Pizza', ""Tilford's Wood Fired Pizza"", ""Stony's Pizza-Red River"", ""Yaghi's New York Pizzeria""]","[""Stony's Pizza-Red River"", ""Tilford's Wood Fired Pizza"", 'Pizza On Point', 'Un Taco Mas', 'Burgerlicious']"
River Rock Dental - Austin,0,"['Cloud Dental', 'River Rock Dental - East Riverside', 'Castle Dental', 'Castle Dental']","['River Rock Dental - East Riverside', 'Cloud Dental', 'Westlake Pediatric Dentistry', 'Moossy General and Cosmetic Dentistry', 'Cool Creek Family Dental']"
Extended Stay America - Austin - Arboretum - North,0,"['DoubleTree by Hilton Hotel Austin', 'Residence Inn Austin South', 'Heart of Texas Motel', 'Fairfield Inn & Suites by Marriott Austin-University Area', 'Homewood Suites by Hilton Austin Downtown']","['Tru by Hilton Austin Airport', 'Hampton Inn Austin/Oak Hill', 'ARRIVE Austin', 'Residence Inn Austin North/Parmer Lane', 'Homewood Suites by Hilton Austin-Arboretum/NW']"
Southwest Skin Cancer & Vein Clinic,1,"['DermResearch', 'Skin Joy Dermatology', 'Bee Caves Dermatology', 'Fox John Jr MD']","['Zoltan Trizna, MD, PHD', 'Epstein Anne', 'Skin Joy Dermatology', 'Fox John Jr MD']"
Chateau Bellevue,1,"['Charles Johnson House- American Legion', 'Palm Door on Sabine', 'Brazos Hall', 'Fair Market']","['Malverde', 'Fair Market', 'Commodore Perry Estate', 'Brazos Hall', 'Palm Door on Sabine']"
Embellish Nails & Boutique,0,"['Embellish Nails & Boutique', 'C. Jane', 'Lucky Brand Jeans', 'Arttie']","[""Scout & Molly's Boutique"", ""Mary's Nails & Facials"", 'Elevé Cosmetics', 'Venetian 360 Nails & Spa Lounge']"
TownePlace Suites Austin North/Tech Ridge,1,"['Microtel Inn and Suites by Wyndham Austin Airport', 'Motel 6', 'Extended Stay America - Austin - Downtown - Town Lake', 'La Quinta Inn by Wyndham Austin South / I-35', 'Econo Lodge']","['Drury Inn & Suites Austin North', 'Heywood Hotel', 'Hotel Saint Cecilia', 'Staybridge Suites Austin Airport']"
"Ferguson Bath, Kitchen & Lighting Gallery",0,"['Tri-Supply - Austin', 'The Home Depot', 'The Tile Shop', 'Alexander Marchant']","['Tri-Supply - Austin', ""Tipler's Lamp Shop"", 'South Austin Metals', 'The Tile Shop', 'Alexander Marchant']"
Gandhi Bazar,1,"['Desi Brothers', 'Desi Brothers', 'Barton Springs Dry Goods', 'Austin Slow Burn']","['West Campus Market', 'Austin Slow Burn', 'The Bee Grocery', 'Tomgro Grocery']"
Rainbow Play Systems of Texas,1,"['Play It Again Sports - South Austin', 'Austin Sports Connection', 'New Tech Tennis', 'East Austin Succulents']","['New Tech Tennis', 'Geo Growers', 'Austin Discount Mattress', 'UB Kitchens']"
Cindie's,0,"[""Cindie's"", 'Express', ""Journey's"", 'Cove Boutique']","['InStep Central - The Triangle', 'InStep North - Gateway', 'The Smoking Caterpillar', 'Smoke-N-Chill', 'Forbidden Fruit']"
